zone1_id,zone2_id,weight
140,262,1751.2300754581915
140,263,1744.8777202763265
50,246,2073.8729272186815
50,143,1618.182662692245
141,229,1531.4459046994755
141,237,614.5187378385615
141,263,1931.9811935678174
141,236,1688.7865598989968
207,260,2695.474196326656
207,223,1928.9648557928956
163,230,986.2898602871774
163,237,1320.0589936810209
43,163,2868.7908867899264
43,237,1548.7318931089055
43,142,2126.8998147157713
43,236,837.980540469897
43,239,1100.1990758906302
43,238,1562.8631635121976
43,75,2254.3199398842335
43,151,1910.3132158794274
53,92,3202.6394270986816
53,252,2752.040376962565
142,163,1308.6750276145428
142,143,696.6484754215934
142,239,1356.890122792182
179,193,2229.8273319264313
179,223,2291.018017009654
138,223,2611.805206333692
236,237,1932.2383481838733
236,263,615.0661324521287
262,263,637.0788337001827
15,171,3352.940420556066
15,16,3189.544854515655
15,252,2663.3587779540176
8,179,1152.9726504106784
8,223,1389.969180913735
171,252,2645.282661431196
143,239,1534.4497038320158
75,262,1621.26649595858
75,263,1627.6188511404448
75,236,1870.8134848092654
238,239,1261.039928000605
74,75,1842.899696846874
151,238,1045.3712082379177
41,43,3452.257866413142
41,75,1990.4060148766268
41,74,1349.372616046137
41,166,1318.9101602847884
41,42,2301.9352738164307
24,151,638.396620466795
24,43,2174.7980647817285
24,166,1098.931963553162
24,41,1277.4598016314135
168,194,2375.219652620224
168,247,2951.1061041009752
42,74,2146.900003089601
42,152,961.7217302073534
42,116,1528.5380298310479
42,120,3919.1675581295895
42,244,2654.9481124941644
126,168,2762.9832649344157
126,147,1805.4977691031163
126,213,2603.0513897420446
126,167,2920.479463388615
147,168,2649.5840065235543
147,159,1150.977234558423
147,167,1114.981694285499
152,166,1518.7413816873288
159,168,1498.6067719651307
159,167,1780.4177049310183
208,213,3081.234038645504
208,250,2772.24792337008
208,242,4551.405676803866
69,168,2807.1125654744974
69,159,1620.2311418944198
69,247,940.9180859995388
69,167,1340.9735246454252
69,169,2671.874962598158
116,152,1382.00080162635
116,244,2144.945382210454
213,250,2264.098778258903
60,126,2465.1725371574435
60,212,1837.3879436508446
60,167,1897.2920094685173
60,248,992.6290696695481
60,78,1247.996138365029
212,213,1943.2955200050792
212,248,883.6781586255775
212,250,1971.690968528896
119,247,1108.77212808031
119,235,2363.459262303464
47,167,1841.4003639518342
47,69,2313.3122753734856
47,59,848.4326827094748
47,169,1045.8655206445649
47,78,1303.8877838817123
47,94,1770.4579937816611
120,244,1353.9431045001384
120,243,1351.4557949773603
120,127,2937.515446891277
182,212,1931.9464438907487
182,248,1421.4433522630022
182,250,1296.7677756193914
182,242,1528.6299443589987
59,167,1755.160673548002
59,60,1157.1453210588297
59,78,1390.1274742855444
58,208,2243.265657381586
58,184,3881.8413732746703
242,250,1779.1577534337862
242,248,2950.073296622001
78,242,2694.7062279265206
31,78,2141.391308770861
31,242,2993.8534837686684
31,185,1879.334668415486
31,32,1452.3489955516832
31,174,2411.7701878962675
31,254,3898.609077448641
31,240,4566.579392460327
183,208,3452.534075295542
183,242,1630.8235790858248
183,184,3822.5332922361804
169,247,3612.793048597697
169,235,1161.4106868344181
184,208,6125.107030656257
184,242,5453.356871322006
235,247,3222.195380526222
243,244,2326.550403101064
185,242,1114.5188153531817
20,78,1451.4992888449954
20,31,746.6667242596386
20,47,2705.956949797157
94,169,1411.8953065569883
94,235,1802.4929746284643
94,136,1247.0614337171255
3,185,1619.1438370827107
3,242,2201.241459079224
3,32,1302.2073826832006
3,184,3252.1154122427815
3,51,2427.1168867364754
3,81,2602.8806955854984
3,254,2792.271756035019
136,235,2137.893903786197
136,241,1987.7411571621067
136,153,1510.7367896785183
136,220,2247.4367286195197
18,94,1729.0981935422685
18,20,1410.7597315827384
18,136,1393.6972643845359
18,241,1371.496159005212
18,174,1850.3719458698179
32,185,1819.4655618372053
32,254,2446.260081896958
51,184,2093.117641033896
51,81,1374.0567634463146
127,243,1964.908148290351
127,128,1063.5169874101748
128,243,2304.61900995527
153,220,736.6999389410012
220,241,1731.3321450402973
220,240,3408.5081501256827
81,254,1730.7720850891264
81,184,3467.1744044802103
81,259,3005.1289542318855
174,240,2154.8092045640583
174,241,1256.328053092247
240,254,3031.4329555269933
240,241,2988.454231269158
240,259,2498.979133924788
200,220,2169.0644719212505
200,240,2336.847625342861
254,259,2237.145275194232
8,194,1492.784047795799
138,199,2510.6927364615935
46,184,3985.589576339243
208,252,4473.132017627913
53,213,5207.59897871715
140,202,741.2124679537222
193,202,745.2923175804941
145,229,2425.385846122904
12,103,1827.0944635377475
232,256,2081.866506061743
33,209,2079.08695034286
33,87,2101.0180441375637
12,195,3505.8120938808843
27,154,4141.189191481876
2,201,5183.329835115546
30,201,4400.059598384311
30,117,3381.4716334246395
86,132,7195.832604982319
86,203,7295.951808269501
